"Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
0,0,0,2.559,0.113,0
0,0,0,2.559,0.114,0
0,0,0,2.559,0.115,0
0,0,0,2.559,0.116,0
0,0,0,2.559,0.117,0
0,0,0,2.559,0.118,0
0,0,0,2.559,0.119,0
0,0,0,2.559,0.12,0
0,0,0,2.559,0.121,0
0,0,0,2.559,0.122,0
0,0,0,2.559,0.123,0
0,0,0,2.559,0.124,0
0,0,0,2.559,0.125,0
0,0,0,2.559,0.126,0
0,0,0,2.559,0.127,0
0,0,0,2.559,0.128,0
0,0,0,2.398,0.129,0
0,0,0,2.398,0.13,0
0,0,0,2.398,0.131,0
0,0,0,2.398,0.132,0
0,0,0,2.399,0.129,0
0,0,0,2.399,0.13,0
0,0,0,2.399,0.131,0
0,0,0,2.399,0.132,0
0,0,0,2.398,0.133,0
0,0,0,2.398,0.134,0
0,0,0,2.398,0.135,0
0,0,0,2.398,0.136,0
0,0,0,2.399,0.133,0
0,0,0,2.399,0.134,0
0,0,0,2.399,0.135,0
0,0,0,2.399,0.136,0
0,0,0,2.398,0.137,0
0,0,0,2.398,0.138,0
0,0,0,2.398,0.139,0
0,0,0,2.398,0.14,0
0,0,0,2.399,0.137,0
0,0,0,2.399,0.138,0
0,0,0,2.399,0.139,0
0,0,0,2.399,0.14,0
0,0,0,2.398,0.141,0
0,0,0,2.398,0.142,0
0,0,0,2.398,0.143,0
0,0,0,2.398,0.144,0
0,0,0,2.399,0.141,0
0,0,0,2.399,0.142,0
0,0,0,2.399,0.143,0
0,0,0,2.399,0.144,0
0,0,0,2.398,0.145,0
0,0,0,2.398,0.146,0
0,0,0,2.398,0.147,0
0,0,0,2.398,0.148,0
0,0,0,2.399,0.145,0
0,0,0,2.399,0.146,0
0,0,0,2.399,0.147,0
0,0,0,2.399,0.148,0
0,0,0,2.398,0.149,0
0,0,0,2.398,0.15,0
0,0,0,2.398,0.151,0
